town,federal_state,longitude,latitude,inhabitants
Stainz,Steiermark,15.264379,46.8936066,8679
Deutsch-Wagram,Niederösterreich,16.5568452,48.2959872,8651
Wolfurt,Vorarlberg,9.750197,47.4667813,8446
Gratkorn,Steiermark,15.3390907,47.1326223,8391
Perg,Oberösterreich,14.6338102,48.2500898,8388
Neulengbach,Niederösterreich,15.907098,48.1970124,8281
Kitzbühel,Tirol,12.3911473,47.4463585,8272
Kalsdorf bei Graz,Steiermark,15.4594972,46.9665661,8269
Liezen,Steiermark,14.2125684,47.5070965,8265
Neusiedl am See,Burgenland,16.8425149,47.9491855,8235
Ebenthal in Kärnten,Kärnten,14.3945521,46.5893053,8224
Kindberg,Steiermark,15.4498601,47.5049711,8205
Zirl,Tirol,11.2422348,47.2733773,8162
Langenzersdorf,Niederösterreich,16.3572556,48.3096359,8137
Mürzzuschlag,Steiermark,15.6723805,47.6053538,8102
Höchst,Vorarlberg,9.6379578,47.4598203,7995
Bruck an der Leitha,Niederösterreich,16.7790041,48.0255094,7988
Freistadt,Oberösterreich,14.5047566,48.5112961,7909
Wattens,Tirol,11.5907326,47.2935786,7881
Sankt Andrä-Wördern,Niederösterreich,16.2175963,48.3173932,7870
Herzogenburg,Niederösterreich,15.6946065,48.2843295,7771
Landeck,Tirol,10.5704571,47.1424135,7725
Ebensee am Traunsee,Oberösterreich,13.7741666,47.8122366,7717
Langenlois,Niederösterreich,15.676295,48.472601,7609
Oberwart,Burgenland,16.2124214,47.2861513,7572
Fohnsdorf,Steiermark,14.6779341,47.2073941,7569
Pressbaum,Niederösterreich,16.077089,48.1792064,7559
Pasching,Oberösterreich,14.2044214,48.2576453,7552
Sieghartskirchen,Niederösterreich,16.0117674,48.2560122,7528
Ferlach,Kärnten,14.3006203,46.5265324,7513
Vorchdorf,Oberösterreich,13.922837,48.0035141,7475
Bad Goisern am Hallstättersee,Oberösterreich,13.61648,47.6408949,7450
Straßwalchen,Salzburg,13.2555023,47.9801512,7420
Kottingbrunn,Niederösterreich,16.2285187,47.9513587,7417
Himberg,Niederösterreich,16.4398196,48.0820025,7375
Mattersburg,Burgenland,16.3980488,47.7368423,7349
Hitzendorf,Steiermark,15.3015808,47.0345193,7338
Kuchl,Salzburg,13.1451024,47.6258369,7274
Grödig,Salzburg,13.0394985,47.7381691,7262
Feldkirchen bei Graz,Steiermark,15.4431328,47.0116701,7253
Fehring,Steiermark,16.0104462,46.9360862,7235
Wolkersdorf im Weinviertel,Niederösterreich,16.5181068,48.3829773,7201
Arnoldstein,Kärnten,13.7071246,46.548718,7157
Eggersdorf bei Graz,Steiermark,15.6036249,47.1235207,7145
Jenbach,Tirol,11.7717443,47.3915387,7120
Absam,Tirol,11.5051409,47.2965003,7112
Zeltweg,Steiermark,14.7549244,47.1912045,7081
Pottendorf,Niederösterreich,16.3875417,47.9100871,7049
Vösendorf,Niederösterreich,16.3370676,48.1216028,6990
Eugendorf,Salzburg,13.1231841,47.8671332,6937
Bad Hofgastein,Salzburg,13.1060635,47.1703104,6914
Hermagor-Pressegger See,Kärnten,13.355189,46.6126272,6905
Premstätten,Steiermark,15.4122524,46.9629803,6823
Regau,Oberösterreich,13.688056,47.991944,6780
Hartberg,Steiermark,15.9691769,47.2809371,6745
Völs,Tirol,11.3279408,47.2523245,6738
Garsten,Oberösterreich,14.4077971,48.0222203,6711
Seeboden am Millstätter See,Kärnten,13.5186548,46.8190736,6706
Reutte,Tirol,10.7187955,47.4891092,6704
Frohnleiten,Steiermark,15.3260206,47.2715315,6632
Altach,Vorarlberg,9.6518728,47.3544962,6624
Asten,Oberösterreich,14.4214667,48.2202092,6613
Kremsmünster,Oberösterreich,14.128766,48.0533652,6585
Scheifling,Steiermark,14.4100976,47.1502827,6571
Hainburg an der Donau,Niederösterreich,16.9422459,48.1466103,6570
Wilhelmsburg,Niederösterreich,15.6058057,48.1050511,6557
Sankt Barbara im Mürztal,Steiermark,15.4649398,47.5760045,6524
Mattighofen,Oberösterreich,13.1503106,48.1030792,6524
Horn,Niederösterreich,15.6563147,48.6636596,6520
Gallneukirchen,Oberösterreich,14.4164196,48.3531392,6492
Wagna,Steiermark,15.5571703,46.766314,6479
Frastanz,Vorarlberg,9.6318883,47.215441,6434
Eibiswald,Steiermark,15.245156,46.6862611,6416
Straß in Steiermark,Steiermark,15.6282242,46.7267476,6409
Hörbranz,Vorarlberg,9.7513786,47.554821,6346
Neumarkt am Wallersee,Salzburg,13.2253002,47.9450169,6297
Laa an der Thaya,Niederösterreich,16.3853207,48.7210387,6280
Neuhofen an der Krems,Oberösterreich,14.2284929,48.1379716,6269
Nenzing,Vorarlberg,9.6995419,47.183198,6239
Traismauer,Niederösterreich,15.7441868,48.3499106,6224
Sankt Florian,Oberösterreich,14.3816038,48.2072861,6176
Hörsching,Oberösterreich,14.1782774,48.2264661,6062
Gunskirchen,Oberösterreich,13.9427447,48.1334587,6037
Axams,Tirol,11.279297,47.2307532,5996
Eberndorf,Kärnten,14.6685213,46.6030806,5989
Gnas,Steiermark,15.826349,46.8742452,5985
Pöllau,Steiermark,15.8340187,47.302891,5975
Alkoven,Oberösterreich,14.1071126,48.2877185,5961
Thalgau,Salzburg,13.2535481,47.8414905,5931
Gloggnitz,Niederösterreich,15.9374085,47.6757858,5916
Wilhering,Oberösterreich,14.1921444,48.3235801,5911
Kirchbichl,Tirol,12.0859208,47.5111617,5855
Micheldorf in Oberösterreich,Oberösterreich,14.1375695,47.8773599,5854
