town,canton,longitude,latitude,inhabitants
Rorschach,SG,9.4914025,47.4779686,9646
Bussigny,VD,6.553745,46.5512503,9603
Altdorf (UR)[note 2],UR,,,9565
Thusis,GR,9.4390836,46.6972368,9453
Arlesheim[note 2],BL,,,9240
Lachen (SZ),SZ,8.8523833,47.1923827,9137
Conthey,VS,7.2903423,46.1880173,8857
Crissier,VD,6.5772501,46.5538658,8727
Aarburg,AG,7.8993599,47.3206417,8577
Bremgarten (AG),AG,8.3423906,47.3514557,8415
Murten,FR,7.1163909,46.9288643,8244
Stans,NW,8.3661026,46.9570611,8171
Visp,VS,7.8811918,46.2913113,8060
Willisau,LU,7.99659,47.1215184,7752
Chiasso,TI,9.0290169,45.8355209,7581
Châtel-Saint-Denis,FR,6.8996536,46.5265288,7449
Moutier,BE,7.3704192,47.2796142,7348
Orbe,VD,6.5317943,46.724144,7108
Nidau,BE,7.241157,47.1250287,6943
Beromünster,LU,8.1924386,47.2076373,6661
Losone,TI,8.7633619,46.1679841,6647
Uznach,SG,8.98556,47.2250882,6519
Porrentruy,JU,7.0761342,47.4171297,6434
Rolle,VD,6.3380469,46.4601563,6260
Sargans,SG,9.4401995,47.0482641,6213
Estavayer-le-Lac,FR,6.8477378,46.8496406,6208
Boudry,NE,6.8358712,46.9487464,6193
Moudon,VD,6.8003478,46.6680664,6101
Biasca,TI,8.9714023,46.3606274,6094
Bischofszell,TG,9.2409168,47.4937698,5907
Mellingen,AG,8.274659,47.4195131,5865
Saint-Prex,VD,6.4586004,46.4809059,5855
Villeneuve,VD,6.9248129,46.3965712,5834
Zermatt,VS,7.749254,46.0212076,5820
Laufen (BL),BL,7.5020019,47.4224096,5814
Peseux,NE,6.8906893,46.9886931,5796
Appenzell[note 1],AI,,,5793
Unterseen,BE,7.8496369,46.6871654,5760
Échallens,VD,6.6346951,46.6381163,5729
Walenstadt,SG,9.3140113,47.1229016,5728
Interlaken,BE,7.8585139,46.6855231,5719
Ascona,TI,8.7707865,46.1554222,5554
Eglisau,ZH,8.5239827,47.5733207,5491
Romont (FR),FR,6.9183328,46.694829,5417
Greifensee,ZH,8.6786693,47.3662476,5307
